Player,Age,Team,Pos,FGA,X3PA,X2PA,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
Tyrese Maxey,24,PHI,PG,1091,478,613,289,15,159,174,317,91,21,124,116,1369,37958760
Tyrese Haliburton,24,IND,PG,1006,562,444,222,42,216,258,673,105,49,120,92,1359,45550512
Nikola Vučević,34,CHI,C,1038,321,717,149,178,557,735,256,61,52,119,163,1349,21481481
Anfernee Simons,25,POR,SG,1125,593,532,194,25,164,189,337,60,5,143,117,1348,27678571
Ivica Zubac,27,LAC,C,942,0,942,236,300,710,1010,214,55,90,127,168,1340,18102000
Domantas Sabonis,28,SAC,C,893,156,737,289,267,705,972,423,48,26,202,229,1337,42336000
Shaedon Sharpe,21,POR,SG,1104,472,632,242,68,256,324,198,62,16,150,120,1335,8399983
OG Anunoby,27,NYK,PF,1027,460,567,226,97,261,358,164,110,65,102,172,1332,39568966
Desmond Bane,26,MEM,SG,1018,418,600,198,62,356,418,369,80,28,169,164,1327,36725670
Evan Mobley,23,CLE,PF,906,230,676,305,164,495,659,226,61,113,145,141,1316,46394100
Norman Powell,31,LAC,SG,945,428,517,265,21,169,190,125,73,9,108,114,1306,20482758
Miles Bridges,26,CHO,PF,1089,450,639,254,72,409,481,248,44,45,136,93,1300,25000000
Julius Randle,30,MIN,PF,939,314,625,335,144,343,487,323,47,16,196,175,1288,30864198
Anthony Davis,31,2TM,C,910,124,786,369,134,456,590,181,59,110,113,98,1261,54126450
Scottie Barnes,23,TOR,PF,1063,280,783,302,109,393,502,378,93,63,185,113,1252,38661750
Derrick White,30,BOS,SG,959,691,268,161,67,274,341,361,72,80,131,138,1248,28100000
Kyrie Irving,32,DAL,SG,945,359,586,214,60,180,240,231,66,23,111,101,1234,36566002
RJ Barrett,24,TOR,SF,982,306,676,311,61,305,366,314,46,17,165,137,1223,27705357
Deni Avdija,24,POR,SF,844,342,502,372,110,412,522,281,71,35,196,171,1219,14375000
Christian Braun,23,DEN,SG,821,224,597,214,98,312,410,205,85,37,81,170,1218,4921797
Paolo Banchero,22,ORL,PF,911,272,639,385,51,294,345,219,36,28,136,97,1191,15334769
Stephon Castle,20,SAS,SG,988,333,655,344,89,208,297,332,74,22,177,164,1190,9560520
LaMelo Ball,23,CHO,PG,1003,528,475,229,47,185,232,346,54,13,167,157,1184,37958760
CJ McCollum,33,NOP,PG,1000,459,541,173,42,170,212,227,46,24,106,124,1183,30666666
Ja Morant,25,MEM,PG,889,285,604,319,34,171,205,364,61,12,185,113,1159,39446090
Collin Sexton,26,UTA,SG,867,271,596,251,60,111,171,264,47,6,160,144,1159,18975000
Bennedict Mathurin,22,IND,SF,853,288,565,332,87,296,383,136,47,24,135,162,1156,9187573
